continent,region,osm_pbf,subregion
africa,Algeria,https://download.geofabrik.de/africa/algeria-latest.osm.pbf,
africa,Angola,https://download.geofabrik.de/africa/angola-latest.osm.pbf,
africa,Benin,https://download.geofabrik.de/africa/benin-latest.osm.pbf,
africa,Botswana,https://download.geofabrik.de/africa/botswana-latest.osm.pbf,
africa,Burkina Faso,https://download.geofabrik.de/africa/burkina-faso-latest.osm.pbf,
africa,Burundi,https://download.geofabrik.de/africa/burundi-latest.osm.pbf,
africa,Cameroon,https://download.geofabrik.de/africa/cameroon-latest.osm.pbf,
africa,Canary Islands,https://download.geofabrik.de/africa/canary-islands-latest.osm.pbf,
africa,Cape Verde,https://download.geofabrik.de/africa/cape-verde-latest.osm.pbf,
africa,Central African Republic,https://download.geofabrik.de/africa/central-african-republic-latest.osm.pbf,
africa,Chad,https://download.geofabrik.de/africa/chad-latest.osm.pbf,
africa,Comores,https://download.geofabrik.de/africa/comores-latest.osm.pbf,
africa,Congo (Republic/Brazzaville),https://download.geofabrik.de/africa/congo-brazzaville-latest.osm.pbf,
africa,Congo (Democratic Republic/Kinshasa),https://download.geofabrik.de/africa/congo-democratic-republic-latest.osm.pbf,
africa,Djibouti,https://download.geofabrik.de/africa/djibouti-latest.osm.pbf,
africa,Egypt,https://download.geofabrik.de/africa/egypt-latest.osm.pbf,
africa,Equatorial Guinea,https://download.geofabrik.de/africa/equatorial-guinea-latest.osm.pbf,
africa,Eritrea,https://download.geofabrik.de/africa/eritrea-latest.osm.pbf,
africa,Ethiopia,https://download.geofabrik.de/africa/ethiopia-latest.osm.pbf,
africa,Gabon,https://download.geofabrik.de/africa/gabon-latest.osm.pbf,
africa,Ghana,https://download.geofabrik.de/africa/ghana-latest.osm.pbf,
africa,Guinea,https://download.geofabrik.de/africa/guinea-latest.osm.pbf,
africa,Guinea-Bissau,https://download.geofabrik.de/africa/guinea-bissau-latest.osm.pbf,
africa,Ivory Coast,https://download.geofabrik.de/africa/ivory-coast-latest.osm.pbf,
africa,Kenya,https://download.geofabrik.de/africa/kenya-latest.osm.pbf,
africa,Lesotho,https://download.geofabrik.de/africa/lesotho-latest.osm.pbf,
africa,Liberia,https://download.geofabrik.de/africa/liberia-latest.osm.pbf,
africa,Libya,https://download.geofabrik.de/africa/libya-latest.osm.pbf,
africa,Madagascar,https://download.geofabrik.de/africa/madagascar-latest.osm.pbf,
africa,Malawi,https://download.geofabrik.de/africa/malawi-latest.osm.pbf,
africa,Mali,https://download.geofabrik.de/africa/mali-latest.osm.pbf,
africa,Mauritania,https://download.geofabrik.de/africa/mauritania-latest.osm.pbf,
africa,Mauritius,https://download.geofabrik.de/africa/mauritius-latest.osm.pbf,
africa,Morocco,https://download.geofabrik.de/africa/morocco-latest.osm.pbf,
africa,Mozambique,https://download.geofabrik.de/africa/mozambique-latest.osm.pbf,
africa,Namibia,https://download.geofabrik.de/africa/namibia-latest.osm.pbf,
africa,Niger,https://download.geofabrik.de/africa/niger-latest.osm.pbf,
africa,Nigeria,https://download.geofabrik.de/africa/nigeria-latest.osm.pbf,
africa,Rwanda,https://download.geofabrik.de/africa/rwanda-latest.osm.pbf,
africa,"Saint Helena, Ascension, and Tristan da Cunha",https://download.geofabrik.de/africa/saint-helena-ascension-and-tristan-da-cunha-latest.osm.pbf,
africa,Sao Tome and Principe,https://download.geofabrik.de/africa/sao-tome-and-principe-latest.osm.pbf,
africa,Senegal and Gambia,https://download.geofabrik.de/africa/senegal-and-gambia-latest.osm.pbf,
africa,Seychelles,https://download.geofabrik.de/africa/seychelles-latest.osm.pbf,
africa,Sierra Leone,https://download.geofabrik.de/africa/sierra-leone-latest.osm.pbf,
africa,Somalia,https://download.geofabrik.de/africa/somalia-latest.osm.pbf,
africa,South Africa,https://download.geofabrik.de/africa/south-africa-latest.osm.pbf,
africa,South Sudan,https://download.geofabrik.de/africa/south-sudan-latest.osm.pbf,
africa,Sudan,https://download.geofabrik.de/africa/sudan-latest.osm.pbf,
africa,Swaziland,https://download.geofabrik.de/africa/swaziland-latest.osm.pbf,
africa,Tanzania,https://download.geofabrik.de/africa/tanzania-latest.osm.pbf,
africa,Togo,https://download.geofabrik.de/africa/togo-latest.osm.pbf,
africa,Tunisia,https://download.geofabrik.de/africa/tunisia-latest.osm.pbf,
africa,Uganda,https://download.geofabrik.de/africa/uganda-latest.osm.pbf,
africa,Zambia,https://download.geofabrik.de/africa/zambia-latest.osm.pbf,
africa,Zimbabwe,https://download.geofabrik.de/africa/zimbabwe-latest.osm.pbf,
asia,Afghanistan,https://download.geofabrik.de/asia/afghanistan-latest.osm.pbf,
asia,Armenia,https://download.geofabrik.de/asia/armenia-latest.osm.pbf,
asia,Azerbaijan,https://download.geofabrik.de/asia/azerbaijan-latest.osm.pbf,
asia,Bangladesh,https://download.geofabrik.de/asia/bangladesh-latest.osm.pbf,
asia,Bhutan,https://download.geofabrik.de/asia/bhutan-latest.osm.pbf,
asia,Cambodia,https://download.geofabrik.de/asia/cambodia-latest.osm.pbf,
asia,China,https://download.geofabrik.de/asia/china/anhui-latest.osm.pbf,Anhui
asia,China,https://download.geofabrik.de/asia/china/beijing-latest.osm.pbf,Beijing
asia,China,https://download.geofabrik.de/asia/china/chongqing-latest.osm.pbf,Chongqing
asia,China,https://download.geofabrik.de/asia/china/fujian-latest.osm.pbf,Fujian
asia,China,https://download.geofabrik.de/asia/china/gansu-latest.osm.pbf,Gansu
asia,China,https://download.geofabrik.de/asia/china/guangdong-latest.osm.pbf,Guangdong (with Hong Kong and Macau)
asia,China,https://download.geofabrik.de/asia/china/guangxi-latest.osm.pbf,Guangxi
asia,China,https://download.geofabrik.de/asia/china/guizhou-latest.osm.pbf,Guizhou
asia,China,https://download.geofabrik.de/asia/china/hainan-latest.osm.pbf,Hainan
asia,China,https://download.geofabrik.de/asia/china/hebei-latest.osm.pbf,Hebei (with Beijing and Tianjin)
